hour,timestamp,avg_voltage,avg_current,avg_power,energy_kwh,samples,hour_of_day,day_of_week,is_weekend
2006-12-17_20,1166385600,236.43,14.28,3.362,3.362,60,20,6,1
2006-12-17_21,1166389200,239.1,12.72,3.041,3.041,60,21,6,1
2006-12-17_22,1166392800,242.19,6.38,1.518,1.518,60,22,6,1
2006-12-17_23,1166396400,245.73,2.0,0.438,0.438,60,23,6,1
2006-12-18_00,1166400000,244.61,1.22,0.276,0.276,60,0,0,0
2006-12-18_01,1166403600,243.52,1.42,0.313,0.313,60,1,0,0
2006-12-18_02,1166407200,246.89,1.26,0.284,0.284,60,2,0,0
2006-12-18_03,1166410800,245.73,1.4,0.31,0.31,60,3,0,0
2006-12-18_04,1166414400,245.51,4.18,1.026,1.026,60,4,0,0
2006-12-18_05,1166418000,245.25,1.29,0.294,0.294,60,5,0,0
2006-12-18_06,1166421600,245.7,2.6,0.61,0.61,60,6,0,0
2006-12-18_07,1166425200,240.96,10.22,2.45,2.45,60,7,0,0
2006-12-18_08,1166428800,237.88,8.73,2.082,2.082,60,8,0,0
2006-12-18_09,1166432400,237.4,6.82,1.629,1.629,60,9,0,0
2006-12-18_10,1166436000,239.08,5.43,1.31,1.31,60,10,0,0
2006-12-18_11,1166439600,239.77,6.47,1.562,1.562,60,11,0,0
2006-12-18_12,1166443200,242.58,7.25,1.756,1.756,60,12,0,0
2006-12-18_13,1166446800,241.95,6.94,1.682,1.682,60,13,0,0
2006-12-18_14,1166450400,242.2,7.1,1.733,1.733,60,14,0,0
2006-12-18_15,1166454000,242.42,7.31,1.784,1.784,60,15,0,0
2006-12-18_16,1166457600,242.38,8.1,1.949,1.949,60,16,0,0
2006-12-18_17,1166461200,238.73,8.99,2.155,2.155,60,17,0,0
2006-12-18_18,1166464800,236.67,10.08,2.403,2.403,60,18,0,0
2006-12-18_19,1166468400,235.33,11.19,2.614,2.614,60,19,0,0
2006-12-18_20,1166472000,234.52,13.05,3.051,3.051,60,20,0,0
2006-12-18_21,1166475600,237.59,9.24,2.17,2.17,60,21,0,0
2006-12-18_22,1166479200,240.21,7.25,1.739,1.739,60,22,0,0
2006-12-18_23,1166482800,242.66,6.6,1.547,1.547,60,23,0,0
2006-12-19_00,1166486400,242.07,3.54,0.837,0.837,60,0,1,0
2006-12-19_01,1166490000,241.81,1.57,0.353,0.353,60,1,1,0
2006-12-19_02,1166493600,245.78,1.46,0.327,0.327,60,2,1,0
2006-12-19_03,1166497200,244.46,1.36,0.308,0.308,60,3,1,0
2006-12-19_04,1166500800,244.19,1.5,0.328,0.328,60,4,1,0
2006-12-19_05,1166504400,243.08,1.38,0.307,0.307,60,5,1,0
2006-12-19_06,1166508000,242.03,3.47,0.796,0.796,60,6,1,0
2006-12-19_07,1166511600,239.43,7.54,1.786,1.786,60,7,1,0
2006-12-19_08,1166515200,236.15,16.54,3.879,3.879,60,8,1,0
2006-12-19_09,1166518800,239.57,6.96,1.618,1.618,60,9,1,0
2006-12-19_10,1166522400,242.31,1.94,0.437,0.437,60,10,1,0
2006-12-19_11,1166526000,240.32,9.86,2.322,2.322,60,11,1,0
2006-12-19_12,1166529600,242.96,1.92,0.431,0.431,60,12,1,0
2006-12-19_13,1166533200,243.6,1.29,0.3,0.3,60,13,1,0
2006-12-19_14,1166536800,246.95,1.33,0.302,0.302,60,14,1,0
2006-12-19_15,1166540400,241.74,1.81,0.421,0.421,60,15,1,0
2006-12-19_16,1166544000,242.71,5.61,1.372,1.372,60,16,1,0
2006-12-19_17,1166547600,238.61,8.84,2.112,2.112,60,17,1,0
2006-12-19_18,1166551200,237.64,9.26,2.205,2.205,60,18,1,0
2006-12-19_19,1166554800,241.08,7.6,1.842,1.842,60,19,1,0
2006-12-19_20,1166558400,241.33,12.48,2.941,2.941,60,20,1,0
2006-12-19_21,1166562000,240.87,6.34,1.443,1.443,60,21,1,0
2006-12-19_22,1166565600,242.68,3.01,0.72,0.72,60,22,1,0
2006-12-19_23,1166569200,246.63,1.58,0.384,0.384,60,23,1,0
2006-12-20_00,1166572800,245.81,1.99,0.46,0.46,60,0,2,0
2006-12-20_01,1166576400,243.81,1.11,0.259,0.259,60,1,2,0
2006-12-20_02,1166580000,245.57,3.24,0.784,0.784,60,2,2,0
2006-12-20_03,1166583600,246.15,1.34,0.31,0.31,60,3,2,0
2006-12-20_04,1166587200,246.43,1.25,0.289,0.289,60,4,2,0
2006-12-20_05,1166590800,244.8,1.12,0.263,0.263,60,5,2,0
2006-12-20_06,1166594400,244.07,1.18,0.284,0.284,60,6,2,0
2006-12-20_07,1166598000,243.32,6.44,1.527,1.527,60,7,2,0
2006-12-20_08,1166601600,239.79,12.2,2.918,2.918,60,8,2,0
2006-12-20_09,1166605200,243.12,5.63,1.386,1.386,60,9,2,0
2006-12-20_10,1166608800,240.58,6.25,1.51,1.51,60,10,2,0
2006-12-20_11,1166612400,240.51,12.07,2.892,2.892,60,11,2,0
2006-12-20_12,1166616000,242.61,5.83,1.421,1.421,60,12,2,0
2006-12-20_13,1166619600,242.47,5.88,1.428,1.428,60,13,2,0
2006-12-20_14,1166623200,244.03,5.32,1.295,1.295,60,14,2,0
2006-12-20_15,1166626800,245.72,1.24,0.281,0.281,60,15,2,0
2006-12-20_16,1166630400,244.11,2.07,0.468,0.468,60,16,2,0
2006-12-20_17,1166634000,242.92,2.38,0.574,0.574,60,17,2,0
2006-12-20_18,1166637600,239.24,11.89,2.837,2.837,60,18,2,0
2006-12-20_19,1166641200,236.74,13.71,3.249,3.249,60,19,2,0
2006-12-20_20,1166644800,236.35,15.14,3.575,3.575,60,20,2,0
2006-12-20_21,1166648400,235.99,15.4,3.646,3.646,60,21,2,0
2006-12-20_22,1166652000,238.86,12.75,3.059,3.059,60,22,2,0
2006-12-20_23,1166655600,242.39,9.79,2.382,2.382,60,23,2,0
2006-12-21_00,1166659200,243.43,6.32,1.536,1.536,60,0,3,0
2006-12-21_01,1166662800,243.7,5.69,1.398,1.398,60,1,3,0
2006-12-21_02,1166666400,243.65,5.15,1.275,1.275,60,2,3,0
2006-12-21_03,1166670000,244.57,1.33,0.303,0.303,60,3,3,0
2006-12-21_04,1166673600,244.74,1.02,0.247,0.247,60,4,3,0
2006-12-21_05,1166677200,243.95,1.26,0.291,0.291,60,5,3,0
2006-12-21_06,1166680800,244.85,1.22,0.296,0.296,60,6,3,0
2006-12-21_07,1166684400,241.29,5.37,1.28,1.28,60,7,3,0
2006-12-21_08,1166688000,239.49,6.59,1.563,1.563,60,8,3,0
2006-12-21_09,1166691600,238.48,10.78,2.576,2.576,60,9,3,0
2006-12-21_10,1166695200,239.71,7.4,1.768,1.768,60,10,3,0
2006-12-21_11,1166698800,241.59,2.38,0.535,0.535,60,11,3,0
2006-12-21_12,1166702400,242.67,3.58,0.819,0.819,60,12,3,0
2006-12-21_13,1166706000,241.8,7.06,1.688,1.688,60,13,3,0
2006-12-21_14,1166709600,243.32,4.34,1.024,1.024,60,14,3,0
2006-12-21_15,1166713200,242.91,1.36,0.307,0.307,60,15,3,0
2006-12-21_16,1166716800,239.91,5.62,1.36,1.36,60,16,3,0
2006-12-21_17,1166720400,235.02,7.53,1.753,1.753,60,17,3,0
2006-12-21_18,1166724000,233.89,10.42,2.443,2.443,60,18,3,0
2006-12-21_19,1166727600,235.0,9.36,2.197,2.197,60,19,3,0
2006-12-21_20,1166731200,234.5,10.44,2.437,2.437,60,20,3,0
2006-12-21_21,1166734800,238.31,4.1,0.982,0.982,60,21,3,0
2006-12-21_22,1166738400,242.87,1.21,0.28,0.28,60,22,3,0
2006-12-21_23,1166742000,245.35,1.17,0.27,0.27,60,23,3,0
2006-12-22_00,1166745600,245.68,1.14,0.267,0.267,60,0,4,0
2006-12-22_01,1166749200,244.45,1.17,0.272,0.272,60,1,4,0
2006-12-22_02,1166752800,246.84,1.14,0.268,0.268,60,2,4,0
2006-12-22_03,1166756400,245.79,1.17,0.274,0.274,60,3,4,0
2006-12-22_04,1166760000,245.36,1.14,0.264,0.264,60,4,4,0
2006-12-22_05,1166763600,245.12,3.33,0.807,0.807,60,5,4,0
2006-12-22_06,1166767200,245.31,2.03,0.48,0.48,60,6,4,0
2006-12-22_07,1166770800,240.93,7.21,1.723,1.723,60,7,4,0
2006-12-22_08,1166774400,240.45,11.43,2.744,2.744,60,8,4,0
2006-12-22_09,1166778000,239.55,7.87,1.896,1.896,60,9,4,0
2006-12-22_10,1166781600,239.68,5.57,1.345,1.345,60,10,4,0
2006-12-22_11,1166785200,238.35,5.26,1.253,1.253,60,11,4,0
2006-12-22_12,1166788800,240.2,5.52,1.228,1.228,60,12,4,0
2006-12-22_13,1166792400,240.69,3.04,0.672,0.672,60,13,4,0
2006-12-22_14,1166796000,240.83,3.55,0.816,0.816,60,14,4,0
2006-12-22_15,1166799600,241.86,5.97,1.452,1.452,60,15,4,0
2006-12-22_16,1166803200,241.79,6.48,1.571,1.571,60,16,4,0
2006-12-22_17,1166806800,238.84,6.24,1.497,1.497,60,17,4,0
2006-12-22_18,1166810400,237.51,11.39,2.687,2.687,60,18,4,0
2006-12-22_19,1166814000,237.41,16.54,3.938,3.938,60,19,4,0
2006-12-22_20,1166817600,235.53,15.05,3.536,3.536,60,20,4,0
2006-12-22_21,1166821200,235.14,19.45,4.549,4.549,60,21,4,0
2006-12-22_22,1166824800,239.2,12.98,3.065,3.065,60,22,4,0
2006-12-22_23,1166828400,241.93,10.27,2.419,2.419,60,23,4,0
2006-12-23_00,1166832000,243.02,7.44,1.698,1.698,60,0,5,1
2006-12-23_01,1166835600,243.81,7.55,1.723,1.723,60,1,5,1
2006-12-23_02,1166839200,243.84,7.51,1.701,1.701,60,2,5,1
2006-12-23_03,1166842800,243.69,7.66,1.772,1.772,60,3,5,1
2006-12-23_04,1166846400,243.01,8.16,1.892,1.892,60,4,5,1
2006-12-23_05,1166850000,242.45,9.53,2.229,2.229,60,5,5,1
2006-12-23_06,1166853600,242.47,7.24,1.649,1.649,60,6,5,1
2006-12-23_07,1166857200,237.77,16.98,4.023,4.023,60,7,5,1
2006-12-23_08,1166860800,239.1,17.56,4.191,4.191,60,8,5,1
2006-12-23_09,1166864400,240.81,13.53,3.246,3.246,60,9,5,1
2006-12-23_10,1166868000,239.14,12.56,2.972,2.972,60,10,5,1
2006-12-23_11,1166871600,237.72,13.3,3.159,3.159,60,11,5,1
2006-12-23_12,1166875200,238.76,12.35,2.929,2.929,60,12,5,1
2006-12-23_13,1166878800,239.85,14.31,3.406,3.406,60,13,5,1
2006-12-23_14,1166882400,240.5,15.76,3.758,3.758,60,14,5,1
2006-12-23_15,1166886000,241.31,16.9,4.049,4.049,60,15,5,1
2006-12-23_16,1166889600,240.48,18.22,4.349,4.349,60,16,5,1
2006-12-23_17,1166893200,233.64,23.36,5.453,5.453,60,17,5,1
2006-12-23_18,1166896800,238.0,16.36,3.879,3.879,60,18,5,1
2006-12-23_19,1166900400,238.73,17.3,4.118,4.118,60,19,5,1
2006-12-23_20,1166904000,238.52,17.6,4.181,4.181,60,20,5,1
2006-12-23_21,1166907600,238.59,13.89,3.288,3.288,60,21,5,1
2006-12-23_22,1166911200,238.19,18.31,4.328,4.328,60,22,5,1
2006-12-23_23,1166914800,239.87,23.3,5.562,5.562,60,23,5,1
2006-12-24_00,1166918400,239.11,17.08,4.028,4.028,60,0,6,1
2006-12-24_01,1166922000,237.61,14.02,3.276,3.276,60,1,6,1
2006-12-24_02,1166925600,244.43,10.07,2.303,2.303,60,2,6,1
2006-12-24_03,1166929200,246.86,7.35,1.607,1.607,60,3,6,1
2006-12-24_04,1166932800,245.87,7.27,1.576,1.576,60,4,6,1
2006-12-24_05,1166936400,245.84,7.53,1.632,1.632,60,5,6,1
2006-12-24_06,1166940000,245.59,8.45,1.895,1.895,60,6,6,1
2006-12-24_07,1166943600,242.8,6.97,1.476,1.476,60,7,6,1
2006-12-24_08,1166947200,241.7,6.6,1.428,1.428,60,8,6,1
2006-12-24_09,1166950800,239.89,11.81,2.726,2.726,60,9,6,1
2006-12-24_10,1166954400,236.7,11.38,2.675,2.675,60,10,6,1
2006-12-24_11,1166958000,237.67,8.81,2.093,2.093,60,11,6,1
2006-12-24_12,1166961600,236.93,6.45,1.5,1.5,60,12,6,1
2006-12-24_13,1166965200,237.3,13.79,3.24,3.24,60,13,6,1
2006-12-24_14,1166968800,243.93,5.64,1.372,1.372,60,14,6,1
2006-12-24_15,1166972400,243.18,12.82,3.097,3.097,60,15,6,1
2006-12-24_16,1166976000,243.88,8.31,2.007,2.007,60,16,6,1
2006-12-24_17,1166979600,238.02,7.13,1.686,1.686,60,17,6,1
2006-12-24_18,1166983200,241.16,2.11,0.505,0.505,60,18,6,1
2006-12-24_19,1166986800,241.42,1.85,0.454,0.454,60,19,6,1
2006-12-24_20,1166990400,241.94,1.96,0.474,0.474,60,20,6,1
2006-12-24_21,1166994000,242.21,2.0,0.484,0.484,60,21,6,1
2006-12-24_22,1166997600,243.38,1.97,0.48,0.48,60,22,6,1
2006-12-24_23,1167001200,243.09,2.01,0.486,0.486,60,23,6,1
2006-12-25_00,1167004800,244.11,4.15,1.0,1.0,60,0,0,0
2006-12-25_01,1167008400,244.67,4.93,1.207,1.207,60,1,0,0
2006-12-25_02,1167012000,248.54,1.84,0.438,0.438,60,2,0,0
2006-12-25_03,1167015600,248.28,2.4,0.59,0.59,60,3,0,0
2006-12-25_04,1167019200,248.73,2.35,0.579,0.579,60,4,0,0
2006-12-25_05,1167022800,248.09,2.51,0.62,0.62,60,5,0,0
2006-12-25_06,1167026400,247.0,1.09,0.264,0.264,60,6,0,0
2006-12-25_07,1167030000,243.39,2.83,0.677,0.677,60,7,0,0
2006-12-25_08,1167033600,242.4,10.79,2.611,2.611,60,8,0,0
2006-12-25_09,1167037200,244.19,6.13,1.493,1.493,60,9,0,0
2006-12-25_10,1167040800,242.32,7.92,1.916,1.916,60,10,0,0
2006-12-25_11,1167044400,241.68,12.7,3.045,3.045,60,11,0,0
2006-12-25_12,1167048000,241.05,12.45,2.913,2.913,60,12,0,0
2006-12-25_13,1167051600,242.29,9.47,2.225,2.225,60,13,0,0
2006-12-25_14,1167055200,245.51,7.42,1.784,1.784,60,14,0,0
2006-12-25_15,1167058800,245.84,7.18,1.74,1.74,60,15,0,0
2006-12-25_16,1167062400,241.69,16.3,3.873,3.873,60,16,0,0
2006-12-25_17,1167066000,239.33,8.75,2.072,2.072,60,17,0,0
2006-12-25_18,1167069600,239.89,10.14,2.423,2.423,60,18,0,0
2006-12-25_19,1167073200,241.33,6.78,1.63,1.63,60,19,0,0
2006-12-25_20,1167076800,241.73,8.22,1.977,1.977,60,20,0,0
2006-12-25_21,1167080400,238.56,16.14,3.837,3.837,60,21,0,0
2006-12-25_22,1167084000,237.76,17.74,4.215,4.215,60,22,0,0
2006-12-25_23,1167087600,243.22,10.62,2.592,2.592,60,23,0,0
2006-12-26_00,1167091200,244.67,9.83,2.424,2.424,60,0,1,0
2006-12-26_01,1167094800,241.41,9.9,2.403,2.403,60,1,1,0
2006-12-26_02,1167098400,245.08,9.76,2.411,2.411,60,2,1,0
2006-12-26_03,1167102000,245.52,9.91,2.449,2.449,60,3,1,0
2006-12-26_04,1167105600,244.88,12.17,2.992,2.992,60,4,1,0
2006-12-26_05,1167109200,243.42,9.73,2.388,2.388,60,5,1,0
2006-12-26_06,1167112800,243.4,9.76,2.388,2.388,60,6,1,0
2006-12-26_07,1167116400,239.22,13.1,3.136,3.136,60,7,1,0
2006-12-26_08,1167120000,239.05,9.9,2.366,2.366,60,8,1,0
2006-12-26_09,1167123600,237.29,14.93,3.545,3.545,60,9,1,0
2006-12-26_10,1167127200,237.35,16.99,4.042,4.042,60,10,1,0
2006-12-26_11,1167130800,239.18,9.91,2.374,2.374,60,11,1,0
2006-12-26_12,1167134400,239.41,10.33,2.465,2.465,60,12,1,0
2006-12-26_13,1167138000,239.66,12.11,2.887,2.887,60,13,1,0
2006-12-26_14,1167141600,243.33,15.83,3.827,3.827,60,14,1,0
2006-12-26_15,1167145200,245.31,10.75,2.63,2.63,60,15,1,0
2006-12-26_16,1167148800,241.18,14.4,3.451,3.451,60,16,1,0
2006-12-26_17,1167152400,237.87,14.06,3.342,3.342,60,17,1,0
2006-12-26_18,1167156000,239.42,13.57,3.247,3.247,60,18,1,0
2006-12-26_19,1167159600,239.45,12.67,3.034,3.034,60,19,1,0
2006-12-26_20,1167163200,240.94,14.51,3.479,3.479,60,20,1,0
2006-12-26_21,1167166800,240.85,11.14,2.658,2.658,60,21,1,0
2006-12-26_22,1167170400,244.59,3.76,0.864,0.864,60,22,1,0
2006-12-26_23,1167174000,246.52,3.33,0.768,0.768,60,23,1,0
2006-12-27_00,1167177600,247.77,2.21,0.483,0.483,60,0,2,0
2006-12-27_01,1167181200,248.09,2.34,0.493,0.493,60,1,2,0
2006-12-27_02,1167184800,250.34,2.19,0.48,0.48,60,2,2,0
2006-12-27_03,1167188400,248.27,2.06,0.444,0.444,60,3,2,0
2006-12-27_04,1167192000,247.66,2.24,0.474,0.474,60,4,2,0
2006-12-27_05,1167195600,246.18,4.39,1.037,1.037,60,5,2,0
2006-12-27_06,1167199200,247.78,2.22,0.474,0.474,60,6,2,0
2006-12-27_07,1167202800,240.74,8.7,2.05,2.05,60,7,2,0
2006-12-27_08,1167206400,240.45,8.97,2.165,2.165,60,8,2,0
2006-12-27_09,1167210000,240.51,9.67,2.329,2.329,60,9,2,0
2006-12-27_10,1167213600,238.91,9.67,2.317,2.317,60,10,2,0
2006-12-27_11,1167217200,240.11,5.41,1.316,1.316,60,11,2,0
2006-12-27_12,1167220800,240.83,4.51,1.078,1.078,60,12,2,0
2006-12-27_13,1167224400,243.07,1.2,0.264,0.264,60,13,2,0
2006-12-27_14,1167228000,245.23,1.21,0.264,0.264,60,14,2,0
2006-12-27_15,1167231600,245.7,1.57,0.333,0.333,60,15,2,0
2006-12-27_16,1167235200,246.02,1.33,0.297,0.297,60,16,2,0
2006-12-27_17,1167238800,241.03,2.18,0.501,0.501,60,17,2,0
2006-12-27_18,1167242400,238.37,7.66,1.824,1.824,60,18,2,0
2006-12-27_19,1167246000,239.61,7.36,1.736,1.736,60,19,2,0
2006-12-27_20,1167249600,242.08,9.72,2.353,2.353,60,20,2,0
2006-12-27_21,1167253200,242.73,5.45,1.33,1.33,60,21,2,0
2006-12-27_22,1167256800,242.78,4.47,1.084,1.084,60,22,2,0
2006-12-27_23,1167260400,246.15,1.68,0.354,0.354,60,23,2,0
2006-12-28_00,1167264000,243.68,4.26,1.019,1.019,60,0,3,0
2006-12-28_01,1167267600,245.3,1.27,0.278,0.278,60,1,3,0
2006-12-28_02,1167271200,248.72,1.47,0.316,0.316,60,2,3,0
2006-12-28_03,1167274800,249.2,1.35,0.299,0.299,60,3,3,0
2006-12-28_04,1167278400,248.18,1.44,0.31,0.31,60,4,3,0
2006-12-28_05,1167282000,246.95,1.31,0.289,0.289,60,5,3,0
2006-12-28_06,1167285600,247.82,1.31,0.293,0.293,60,6,3,0
2006-12-28_07,1167289200,243.52,4.47,1.043,1.043,60,7,3,0
2006-12-28_08,1167292800,240.58,10.54,2.536,2.536,60,8,3,0
2006-12-28_09,1167296400,242.63,5.57,1.322,1.322,60,9,3,0
2006-12-28_10,1167300000,242.6,1.54,0.326,0.326,60,10,3,0
2006-12-28_11,1167303600,242.48,1.29,0.28,0.28,60,11,3,0
2006-12-28_12,1167307200,241.99,1.25,0.271,0.271,60,12,3,0
2006-12-28_13,1167310800,243.44,2.99,0.699,0.699,60,13,3,0
2006-12-28_14,1167314400,243.37,7.48,1.809,1.809,60,14,3,0
2006-12-28_15,1167318000,244.3,6.44,1.574,1.574,60,15,3,0
2006-12-28_16,1167321600,243.17,6.38,1.559,1.559,60,16,3,0
2006-12-28_17,1167325200,237.26,10.28,2.433,2.433,60,17,3,0
2006-12-28_18,1167328800,238.77,10.73,2.544,2.544,60,18,3,0
2006-12-28_19,1167332400,237.4,12.07,2.848,2.848,60,19,3,0
2006-12-28_20,1167336000,240.02,8.88,2.117,2.117,60,20,3,0
2006-12-28_21,1167339600,237.29,21.41,5.035,5.035,60,21,3,0
2006-12-28_22,1167343200,243.24,13.28,3.214,3.214,60,22,3,0
2006-12-28_23,1167346800,246.52,9.06,2.131,2.131,60,23,3,0
2006-12-29_00,1167350400,246.3,6.43,1.409,1.409,60,0,4,0
2006-12-29_01,1167354000,245.75,8.71,1.994,1.994,60,1,4,0
2006-12-29_02,1167357600,248.34,8.94,2.152,2.152,60,2,4,0
2006-12-29_03,1167361200,246.11,9.89,2.453,2.453,60,3,4,0
2006-12-29_04,1167364800,245.83,10.0,2.471,2.471,60,4,4,0
2006-12-29_05,1167368400,243.41,9.74,2.386,2.386,60,5,4,0
2006-12-29_06,1167372000,246.06,9.85,2.439,2.439,60,6,4,0
2006-12-29_07,1167375600,239.11,16.07,3.839,3.839,60,7,4,0
2006-12-29_08,1167379200,239.46,15.37,3.695,3.695,60,8,4,0
2006-12-29_09,1167382800,239.67,14.27,3.435,3.435,60,9,4,0
2006-12-29_10,1167386400,241.72,9.99,2.423,2.423,60,10,4,0
2006-12-29_11,1167390000,240.91,5.73,1.389,1.389,60,11,4,0
2006-12-29_12,1167393600,239.84,6.47,1.556,1.556,60,12,4,0
2006-12-29_13,1167397200,241.32,7.13,1.709,1.709,60,13,4,0
2006-12-29_14,1167400800,243.47,5.82,1.418,1.418,60,14,4,0
2006-12-29_15,1167404400,244.32,2.84,0.628,0.628,60,15,4,0
2006-12-29_16,1167408000,241.14,1.5,0.318,0.318,60,16,4,0
2006-12-29_17,1167411600,234.85,3.91,0.892,0.892,60,17,4,0
2006-12-29_18,1167415200,232.6,8.18,1.893,1.893,60,18,4,0
2006-12-29_19,1167418800,233.95,7.63,1.791,1.791,60,19,4,0
2006-12-29_20,1167422400,233.31,14.99,3.472,3.472,60,20,4,0
2006-12-29_21,1167426000,233.04,18.59,4.314,4.314,60,21,4,0
2006-12-29_22,1167429600,237.23,15.47,3.666,3.666,60,22,4,0
2006-12-29_23,1167433200,243.17,5.01,1.165,1.165,60,23,4,0
2006-12-30_00,1167436800,242.48,1.34,0.295,0.295,60,0,5,1
2006-12-30_01,1167440400,241.83,1.51,0.315,0.315,60,1,5,1
2006-12-30_02,1167444000,247.25,1.27,0.279,0.279,60,2,5,1
2006-12-30_03,1167447600,246.89,1.43,0.306,0.306,60,3,5,1
2006-12-30_04,1167451200,246.74,1.4,0.301,0.301,60,4,5,1
2006-12-30_05,1167454800,245.14,1.27,0.278,0.278,60,5,5,1
2006-12-30_06,1167458400,246.81,3.77,0.907,0.907,60,6,5,1
2006-12-30_07,1167462000,244.22,1.17,0.257,0.257,60,7,5,1
2006-12-30_08,1167465600,242.78,6.46,1.517,1.517,60,8,5,1
2006-12-30_09,1167469200,240.56,13.53,3.236,3.236,60,9,5,1
2006-12-30_10,1167472800,236.03,19.91,4.665,4.665,60,10,5,1
2006-12-30_11,1167476400,235.99,16.66,3.886,3.886,60,11,5,1
2006-12-30_12,1167480000,238.13,13.27,3.145,3.145,60,12,5,1
2006-12-30_13,1167483600,240.34,9.66,2.293,2.293,60,13,5,1
2006-12-30_14,1167487200,241.51,7.49,1.79,1.79,60,14,5,1
2006-12-30_15,1167490800,241.47,10.29,2.45,2.45,60,15,5,1
2006-12-30_16,1167494400,238.95,16.67,3.956,3.956,60,16,5,1
2006-12-30_17,1167498000,235.05,11.12,2.581,2.581,60,17,5,1
2006-12-30_18,1167501600,232.52,16.65,3.863,3.863,60,18,5,1
2006-12-30_19,1167505200,233.24,16.19,3.753,3.753,60,19,5,1
2006-12-30_20,1167508800,234.52,13.14,3.076,3.076,60,20,5,1
2006-12-30_21,1167512400,238.16,8.66,2.038,2.038,60,21,5,1
2006-12-30_22,1167516000,240.47,3.36,0.749,0.749,60,22,5,1
2006-12-30_23,1167519600,241.75,3.16,0.71,0.71,60,23,5,1
2006-12-31_00,1167523200,243.46,3.08,0.676,0.676,60,0,6,1
2006-12-31_01,1167526800,241.91,3.22,0.716,0.716,60,1,6,1
2006-12-31_02,1167530400,246.6,3.33,0.722,0.722,60,2,6,1
2006-12-31_03,1167534000,245.78,3.59,0.779,0.779,60,3,6,1
2006-12-31_04,1167537600,244.06,5.5,1.278,1.278,60,4,6,1
2006-12-31_05,1167541200,243.33,4.59,1.051,1.051,60,5,6,1
2006-12-31_06,1167544800,242.43,10.41,2.501,2.501,60,6,6,1
2006-12-31_07,1167548400,240.3,13.99,3.364,3.364,60,7,6,1
2006-12-31_08,1167552000,239.21,17.03,4.085,4.085,60,8,6,1
2006-12-31_09,1167555600,240.25,11.3,2.723,2.723,60,9,6,1
2006-12-31_10,1167559200,236.52,12.28,2.915,2.915,60,10,6,1
2006-12-31_11,1167562800,238.33,14.02,3.359,3.359,60,11,6,1
2006-12-31_12,1167566400,237.37,16.18,3.853,3.853,60,12,6,1
2006-12-31_13,1167570000,236.48,15.16,3.603,3.603,60,13,6,1
2006-12-31_14,1167573600,240.64,12.76,3.081,3.081,60,14,6,1
2006-12-31_15,1167577200,241.94,10.25,2.488,2.488,60,15,6,1
2006-12-31_16,1167580800,241.04,11.68,2.838,2.838,60,16,6,1
2006-12-31_17,1167584400,236.63,11.58,2.75,2.75,60,17,6,1
2006-12-31_18,1167588000,234.67,10.18,2.41,2.41,60,18,6,1
2006-12-31_19,1167591600,235.36,10.27,2.434,2.434,60,19,6,1
2006-12-31_20,1167595200,235.5,10.26,2.425,2.425,60,20,6,1
2006-12-31_21,1167598800,237.1,10.24,2.444,2.444,60,21,6,1
